registered_num,year_processed,objectives_activities,achievements_performance,grant_policy,error
503003,2024,The objects of the charity are for such charitable purposes connected with the Abbey as the trustees shall from time to time in their absolute discretion determine.,"2024 continued to be a challenging period for fundraising in keeping with other similar sectors, with only smaller personal donations from time to time. Significant time and effort was give to supporting the joint application with the Abbey PIC for the National Heritage Lottery Fund. The absence of a suitable Appeals Director was in part managed by the involvement of an advisory consultant. The series of Summertime lunchtime Organ concerts was well received and the celebrity recitalists including James Vivian ( Chapel Royal, Windsor) were much appreciated by the audiences. The Abbey also hosted two celebrity piano concerts in July and August, however the Harpsichord Concert planned for March 25 had to be cancelled.",,
1060133,2025,"Hampshire Hospitals Charity's objective is to enhance the work of the trust and its wonderful staff to help bring a better hospital experience to our patients. The charity funds a range of medical equipment, refurbishments, staff support, and other initiatives that go above and beyond what the NHS budget can provide, in order to improve the environment and experience for patients and staff.","In the last year, Hampshire Hospitals Charity funded 245 projects across the hospitals, including providing a new autism specialist lead role, improved Wi-Fi, and comfortable furniture for patients. The charity also supported initiatives like refurbishing bereavement rooms, funding a football kit for a dad's group, and introducing new fundraising events like a Color Run and comedy night which raised significant funds. The charity works closely with the local community and businesses to raise awareness and support.","Hampshire Hospitals Charity has a scheme of delegation where fund holders manage day-to-day disbursements for their programs in line with the directions set by the charity's Board of Trustees. Grants up to £10,000 can be approved by fund managers, grants between £10,001 and £50,000 must be approved by two fund managers and the charity's sub-committee, and grants over £50,001 are escalated to the charity's Board for approval.",
1041449,2024,"The aims and objects of Miracles remain to provide support to children and their families living in poverty and to help them through crises situations such as serious illness. The allocation of funding is at the discretion of the Board of Trustees with advice taken on the eligibility of the beneficiaries from the UP referral agencies (Children's Hospitals, CAs, Social Workers, Women's Refuges etc.).","Thirty-one years on since the launch of Miracles 2023-24 stands as a pivotal year in our long journey, demonstrating both unprecedented growth and our deepening community impact. Our expanded reach has enabled us to touch more lives across London and the SE than in any previous year, showcasing our enhanced capacity to deliver essential support when it matters most. Throughout this period, we have witnessed firsthand the escalating challenges confronting vulnerable families, particularly those stemming from economic pressures and ongoing reductions in welfare provisions, including policies like the two-child benefit limit. Our crisis work, expertly managed by our Case Work Coordinator, saw a challenging 34% increase from the previous year, rising from 299 cases in 2022/23 to 403 in 2023/24. Each case represents a family in deep distress, with a child receiving treatment for a life-altering illness. Miracles steps in to alleviate some of their immense stress, removing immediate crises through practical support, allowing families to focus on their children's health and recovery. Our Feed London programme, which addresses food poverty among London children living in poverty and crisis during school holidays, also saw a significant increase in support requests. This year, Feed London delivered ingredients for over 25,500 fresh, healthy meals to 1,069 families (2,672 children) —a 21% increase from the previous year. Feed London also distributed over £53,000 in supermarket vouchers, providing essential financial relief at the start of the holidays. This support significantly eased families' difficult circumstances and gave children a positive start, helping to bridge the gap when free school meals are unavailable.",,
260741,2024,"The yearly income of the fund provided by the late Mr A P Taylor to be applied for use of the inhabitants of the parishes of Hayes and Arlington (as they existed on 9th January 1952) without distinction of political, religious or other opinion including the use for meetings, lectures and classes and for other forms of recreation and leisure time occupation with the object of improving the conditions of life for the said inhabitants upon such terms and conditions and for the payment of such sums (if any) as the trustees may from time to time determine. The trustees review all grant applications made to the trust, and, subject to the application being made correctly, to fairly distribute grants, taking into account any special circumstances. It is the trustees policy to grow the assets of the trust in line with inflation and to retain sufficient liquidity so that the immediate needs of the trust can be satisfied.","During the year, the charity chose to offer additional support to the Arlington Hospice Association by awarding them a grant of £10,000.","During the year, a total amount of £36,450 was distributed in grants to 54 local associations.",
283295,2024,"The charity's objects are to distribute funds to religious, educational and similar charities for the advancement of religion in accordance with the Orthodox Jewish faith and the relief of poverty and other charitable purposes for the public benefit. The policies adopted in furtherance of these objects are to identify Orthodox Jewish charities which carry out activities such as providing Orthodox Jewish education and other activities which advance religion in accordance with the Orthodox Jewish faith or which relieve poverty and there has been no change in these during the year.","The charity has continued to distribute funds to other charities during the year. Nearly all of the available incoming resources, after the charity met loan payment and similar obligations, were distributed benefitting the recipient organization accordingly. Any remaining cash reserves will be put towards future investment purposes. The charity's investment properties generated net cash returns in line with expectations. The charity distributed close to the maximum available.",,
299178,2024,"Ghana School Aid is a small charity established to help the education of children in schools and colleges in Ghana, particularly those in rural areas. Ghana School Aid seeks to fulfil its aims by making grants to schools and colleges in Ghana in support of local efforts, for example for school building improvements or essential educational equipment. We provide school furniture, books, writing materials, and occasionally computer and technical equipment, as well as building materials. This year we have supported schools to undertake renovations, mend leaking roofs, provide KEG desks and bunk beds and mattresses for Technical Institutes. Our aim is to support efforts to enable Ghanaian children to acquire a sound education appropriate for them to take their place in the world today. Our main annual social event – the AM and Reunion – is also a fund-raising event. We publish and distribute a booklet, annually, called the Ghana School Aid Newsletter, containing articles of interest, reports of activities and projects, with many pictures and photographs.","The 19 grants given out during the year 2023- 2024 included repairs to schools and to pupil transport following heavy rain, furniture for schools, completion of a boys' dormitory in a Technical Institute, building a toilet block in a J'S and completion of repairs to teachers' quarters. Schools report a great improvement to the facilities for schools to function better, and to the school environment.","Whereas in recent years we have accepted applications submitted to us via our website, a policy which resulted in a very large number of applications to be considered, we are now taking applications from schools and projects that already have some contact with GAS or with one of our Ghanaian representatives or with a member of the GAS Committee. The priorities for giving grants are explained on the Grants page of our website – www.ghanaschoolaid.org",
278006,2024,"The charity was formed for general charitable purposes, in particular the advancement of religion in accordance with the orthodox Jewish faith, the relief of poverty, and other purposes recognized by English law as charitable.","The charity received donations totalling £5,500 in the year (2023: 0) and £222,908 in investment and other income (2023: £250,245).

During the year, the charity made grants totalling £346,534 (2023: £1,539,450). These grants were in furtherance of its objectives and are detailed in the notes to the accounts.

Support costs were £3,868 (2023: £7,010).

There were no fundraising costs in the year.

There was net expenditure and movement in funds during the year amounting to £130,761 (2023: £1,469,946).",Grants are made to charitable institutions and organizations which accord with the objects of the charity.,
200051,2024,,,,
1053321,2024,The Trustees shall hold the Trust Fund upon such charitable trusts and for such charitable purposes as they shall in their uncontrolled discretion from time to time determine. The Trust carries out these objectives by making grants to charitable organisations.,"The Trust has made charitable distributions in 2024 amounting to £677,550 (2023: £723,750) to charitable causes within the Trustees' policy objective for annual donations. The Trustees continue to support charitable causes within the Trust objectives with a preference to local projects in Suffolk.","The Trust has established its grant making policy to achieve its objects for the public benefit to improve the lives of those in the local community. The Trustees review the grant making policy annually to ensure that it reflects the Trusts objects and thereby advances public benefit. The Trust invites applications for grants from all charitable institutions. These are then reviewed by the Trustees, who decide if the grant meets the Trust objectives and are for public benefit.",
1038900,2024,"The objects of the Bishop Stopford's School Trust are to advance education by providing and assisting in the provision of facilities for education at Bishop Stopford's School in the London Borough of Enfield. The Trust funds various activities and programmes at the school, including providing bursaries and prizes, as well as supporting the school's development and infrastructure.","During the year, the Trust continued to provide financial support to Bishop Stopford's School, funding bursaries, prizes, and school development projects. A total of £22,072 was distributed to the school, enabling it to expand its facilities and increase access for students from disadvantaged backgrounds through the bursary programme. The school has seen improved academic results and increased enrolment, demonstrating the positive impact of the Trust's support.","The Trust's grant-making policy is to provide funding to Bishop Stopford's School to support its educational activities and development. Grant applications are reviewed by the Trustees, who assess them based on the school's needs and the Trust's available resources. Grants are typically awarded for specific projects or initiatives that align with the Trust's charitable objectives.",
262861,2023,"The Trust's objectives, as set out in the governing document, are to support the furtherance of protestant evangelical and secular education, the encouragement of missionary activity designed for the Christian faith, the relief of the poor and needy and the help and comfort of the sick and aged. The Trust aims to disburse each year the investment income and gains made in the year.","Decisions are made with regard to the Trust's objectives, with weighting based on need. The Trustees receive feedback reports from beneficiaries to establish the benefits that the donations have brought about.",,
1001761,2024,"The Charity has the following activities and objectives:

1. To manage and maintain the Free School and Institute in Lower Brailes.

These properties are to be used for the furthering of religious, charitable and other philanthropic works in the Parish of Brailed and also for the provision of social events and welfare activities for young people living in Brailes.

2. To manage and invest the monies of the Charity.

The income derived by the Charity is used first to maintain and insure the property of the Charity and then to pay the expenses of management of the Charity.

3. The excess of the income over the expenses of maintaining the properties of the Charity and the expenses of management is then to be used as follows:

a) The Trustees are to calculate the income for ecclesiastical purposes. The income is to be a sum between two fifths and one half of the annual income after deducting the expenses of (2) above. This income is to be paid to the Parochial Church Council of Brailed for the maintenance and repair of the Parish Church and the maintenance of services therein. The Trustees have the option of establishing and maintaining a Church Extraordinary Repair Fund.

b) The balance of the income is then to be applied for the promotion of education.","The Charity has continued to carry out its objectives. The total Unrestricted Fund receipts for the year have increased to £54,965 (2023 : £51,650).

The Trustees have distributed grants and other payments from the Unrestricted Fund totalling £23,712 (2023 : £42,734) as detailed in the Receipts and Payments Account.

The excess of receipts over payments on the Unrestricted Fund for the year was £16,965 (2023 : excess of payments over receipts £2,326) and this has been retained in the Unrestricted Fund.",,
1050861,2024,"Hartford and Gresham N'S Trust Charitable Fund (Registration No. 1050861) with the working title of Valley Hospital Charity (VHC) has the following charitable objects:

FOR ANY CHARITABLE PURPOSE OR PURPOSES RELATING TO THE
NATIONAL HEALTH SERVICE

With the generosity of our donors and supporters we fundraiser to:

• Buy the latest medical equipment to offer the best available care to our community in their locality;
• Enhance the Hospital environment for our patients, making it welcoming and comfortable;
• Provide the little extras that can mean so much to a patient's stay in hospital.

In addition, charitable funds have been used to:
• Fund innovative research;
• Support staff training, development and wellbeing.","Following the procurement of a new MI scanner, we successfully funded an integrated play equipment that supports young patients to have successful non-general anaesthetic MI scans, meaning reducing travel to London.

We purchased a mobile Sensory Unit to be used in the Children's Resources Center (children's outpatients) to distract children from uncomfortable but necessary diagnostic and medical treatment.

Our Chapel and Multi-Faith room refurbishment project was finished following the legacy received from the Late Raymond Thompson. Thanks to an anonymous donation in support of the project we were also delighted to commission a beautiful bespoke stained glass window which makes a lovely feature and adds to the ambiance.

Our headline focus in 2023/24 was our Lollipop Fund which supports sick children from babies to teens. We are pleased to have raised £57k through the years activities.","Individuals, companies and grant-giving organizations that make donations and fundraiser in support of VIC do so in the knowledge that their gift is received and managed in accordance with best practice and charity law. In making grants, we follow our Grants Policy and direct funds towards particular thematic designated funds in line with the wishes of patients and staff and make grants where they tell us they are most needed.",
802570,2025,"The objects of the Association are the advancement of the Hindu religion and education particularly in Hindu culture and the relief of poverty and sickness among the Prajapati community in United Kingdom and in other parts of the world. The Association's activities include publishing Prajapati Sadness annually which is distributed to every member of the community in England free of charge. Apart from this the Association organizes annual sports events, ladies gathering, youth gathering, senior's gathering social evenings, family fun day, publication of religious books, etc. A number of events are now also held online via ""zoom"" including financial, religious, health, physical and mental awareness and other sessions that may be relevant to members","In furtherance of its objects, the Committee regularly launches appeals for funds within the community. During the year the Charity received educational grants from individuals and Branch Associations totalling £3,283 (2024 - £1,575) and awarded educational grants totalling £3,370 (2024 - £5,420) to deserving individuals. Events were held during the year - Manila ""women's"" Gamelan and Senior Neh ""senior citizens"" Samelan. These events were well attended attracting more than 1,400 community members, across all age groups. Sandesh, the Association's annual publication, was published in December 2024. This publication includes the Association's and Branch Associations' activities' reports and their charity work, individual's achievement reports and community news. More than 4,000 copies of Sadness were distributed free of charge to community members' houses. Some were also sent to sister organizations abroad.","The Association has been helping poor community members with education and medical assistance for a number of years. Applications are processed by the sub-committee, SPA (UK) International Trust Fund. The sub-committee has improved the processing of applications for grants and establishing contacts with other charitable agencies to channel the funds much more effectively.",
298342,2024,"During the year the charity received gifts and income amounting to £38,983 and made gifts and incurred expenses in accordance with its objectives in the sum of £70,491. A record of the main activities of the trust is included within the attached summary.","There was a deficit of income over expenditure in the year of £18,657. After taking into account the revaluation on the 4 properties and the minibus, the balance sheet of the Trust at the 4th April 2024 was £1,615,259, an increase of £1.3k over MY 2023.",,
1031226,2025,"The charitable objective of the Rebury Primary School Parent Teacher Association is to advance the education of the pupils in the school, through fundraising and event support.","The PTA held a number of key fundraising events during the year, including a fireworks display, school discos, a Christmas Fare, pop up shops, a family fun day, a summer carnival, a dog show, a school lottery, bingo, and a second hand school uniform sale. The funds raised were used to provide a range of benefits to the pupils, including funding Year 3 swimming, purchasing stylus pens, school planners, sweets for the pantomime, reception starter packs, class books, Apple pads and equipment, Shakespeare workshops, snow fluid for the Halloween disco, disco lights, and a climbing wall.",,
312433,2024,"The charity's aim is to enable life-changing support for vulnerable children and young people whose personal, social, health, and educational development is adversely affected by very difficult life circumstances and where no effective statutory support service is available to them at the point of need, continuing the work of our Founder, the Rev. Dr Andrew Reed. Dr Reed established an orphanage, originally called the ""Asylum for Fatherless Children"" in 1844 in Purley. Subsequently renamed Beecham Orphanage in 1904 and Beecham School in 1950, the school was closed in 1979 due to changing social policy and financial pressures and the proceeds of the sale of the land and buildings were used to set up the charity.","Beecham has completed its final year of support for the remaining one young person in its Assisted Boarding programme, who has secured a place at Nottingham University to study Environmental Biology. This fulfils the charity's commitment made to young people supported though the programmed when the Board of Management took the strategic decision in 2018 to move away from the Assisted Boarding Service in favor of other services which would extend the charity's reach and maximize support for vulnerable children and young people. In October 2023 we launched the Youth Innovation Fund (YIF). We now have eight projects support by the fund, four of which started in April 2024 and four which will commence this September, following on from supported planning time.","Beecham has funded a new position at Refugee Day Centre, with the following goals: 1. To offer practical, hardship support to families with children, by providing direct support with items such as food vouchers, school uniform vouchers (via our partnership with Uniformed) and travel support, and by signposting families to the Tuesday Practical Support Center for further help. 2. To build links with and refer and signpost families to other organizations that offer opportunities and support for young people, including current partners such as The Happy Baby Community and Little Village for 0–3-year-olds and Young Roots, Hope for the Young and Palace for Life for young people.",
328341,2024,The object of the charity is to apply funds for general charitable purposes.,,,
229974,2024,"The objects of the Charity are as follows:
(a) to promote education and training (i) among hunt servants and those intending to work as such; or (ii) in relation to matters concerning the countryside and the environment whether by the provision of financial assistance or by such other means as the trustees may in their absolute discretion think fit; or
(b) to relieve poverty amongst hunt servants, their spouses, widows, widowers, children and remoter issue.

Applications for assistance are invited from hunt servants who have been in full time employment with one or more pack or packs of hounds. The Masters and Chairmen of the Hunts receive notices annually reminding them of the availability of this assistance. It is also mentioned in various publications distributed to hunt officers and staff.

The Trustees have discretion to award allowances, grants or provision of accommodation.

During the year the Charity operated a Hunt Staff Bursary Scheme whereby bursaries are given to Hunts to enable hunt staff to undertake structured training for a National Vocational Qualification Level 2 in Animal Care and also develop their skills in literacy and numeracy.","During the year 49 beneficiaries received funds from the Charity.

The charity received three legacies in the year totalling £201,430.

The Charity did not hold any fund raising events during 2024 or 2023.","The Trustees have discretion to award allowances, grants or provision of accommodation.",
261567,2025,The Trust has been established to make grants for charitable purposes. Grants are only made to charities Known to the settlor and unsolicited applications are therefore not considered.,"Investments have been managed throughout the year by the Investment Managers, with performance being monitored by the trustees. The Trust has therefore been able to maintain its level of grant-making.",,
1052958,2024,The principal activity of the charitable company is the general support of charitable activities through grant making.,"During the year, the Foundation welcomed the addition of Steve Moore and Rebecca High as trustees and David Hates stepped down after over 20 years of serving as a trustee. These appointments focused on expanding the Foundations charitable activities with the aim of making positive change to local communities in Bristol and the surrounding area.

The amount of unrestricted donations the charity has received have been put to good use with grants of £39,200 (2023: £25,650) being made in the year which represents a 53% increase on 2023. Additionally, the amount of restricted donations in the year totalled £nil (2023: £63,360) where there are no further restricted donations held by the Foundation, following the most recent restricted donation payout in 2023.

The Foundation rents office space from Triodes Bank UP Limited at Deanery Road which is used to generate income for further grants through event space hire to like-minded and charitable organisations. During 2024, rental income for the year totalled £26,040 (2023: £12,830) an increase of 103% from 2023.

The Foundation continued to award total restricted and unrestricted grants of £39,200 (2023: £89,010) in the year but donations, interest earned and rental income slightly offset the value of grants awarded creating an increase in financial resources for the year by £6,062 (2023: decrease by £67,344).","The Foundation's mission is to make a positive change to local communities in Bristol and the surrounding area through offering grants to projects and charities that are like-minded, and values led. The Foundation receives many more applications than it can respond to positively both from domestic and international charities. The Trustees can only consider approaches from charities whose goals closely match those of Triodes Foundation.",
1011451,2024,"Christian Development Uganda supports through grants the work of Word And Deed Uganda (WADU) a charity based in Kabale, southern Uganda which is incorporated as an N.G.O. in Uganda (registration number IND 16001 5236NB). It supports Fatwa people and other rural poor through evangelism, education, health and nutrition monitoring and the provision of basic necessities. Through a Sponsorship Programme, twenty-one needy children are supported in primary and secondary education.",Six trustees and supporters visited the Kabyle area on a tour of inspection in May and June. They were able to accompany WADE in their visits to primary schools and helped build latrines at the villages of Kinyarushengye and Murambo.,,
224590,2024,"The objective of the Charity is to apply its income for two clearly defined purposes, namely:
1. The payment of not less than two thirds of its income in supporting and maintaining prescribed local institutions and charities in the Ancient Township of Barnsley, and
2 The payment of not more than one third of its income in awarding scholarships, bursaries, maintenance allowances or grants for certain specified educational purposes to beneficiaries being persons who have not attained the age of 25 years, who are resident within the Barnsley Metropolitan Borough, or have for not less than two years been in attendance at any school within the Barnsley Metropolitan Borough and who, in the opinion of the Trustees, are in need of financial assistance.
The trustees have considered the Charity Commission's general guidance on public benefit.","The grants and donations made in the year to 30 June 2024 were:
2024
2023
£
£
Fixed grants
110
110
Additional grants
21,944
20,951
Education awards
6,000
8,000
28,054
30,755
Further details of grants and donations made during the year are included in notes 3 to 5 to these accounts.","In considering grants to locally based charities, preference is usually given to charities working with, or for, young people. Each charity's accounts are carefully scrutinized before a decision upon an award is taken. In considering educational grants, the financial circumstances of each applicant is considered and preference given to applicants whose parental income is low.",
1042526,2025,"The stated and published objectives of the Charity which operates in India and Romania, are as follows: -
1. The provision of residential care for severely disadvantaged children in Christian homes in India, including medical care and
educational support/funding.
2. The provision of educational funding for children living in needy communities.
The occasional provision of short-term aid to communities in need of essential support as identified by our partner charities,
primarily, but not exclusively, in Romania and India.","Inter-arc provides financial support and operational guidance for an indigenous children's home in India, Blessing Home, based in Bangalore.
The children, whose parents have either died or are not able to adequately care for them, are provided with a high standard of residential
care from whatever age they are admitted through to adulthood, including education at good local schools and further education colleges,
as well as taking care of medical needs as and when they arise. The project has continued to work through significant challenges, including
changes in governmental regulations, which have required extensive changes to the operational structure. The professional trustee board
members in India are dedicated volunteers who ensure continued adherence to the governmental regulations.
The children at Blessing Home continue to do well, and their care and education are maintaining good standards. Howard Wallace, the
director of Inter-arc, visited India in April 2024 for four weeks. The purpose of this visit was to encourage the workers and helpers of the
teams supported by Inter-arc, meet the children and parents who are being supported, ensure both the quality and efficiency of the food and
distribution, and verify that correct administrative and financial processes are in place and are being followed. Blessing home is looking to
move to more suitable premises and a new purpose built house is currently being constructed to satisfy this need.
The restructuring of the Romanian board is now complete, which has enabled the charity to engage in providing funding to meet specific
needs concerning children and their families. Romania has also been used as a springboard to reach out to Ukraine, where opportunities
arose to purchase supplies and bring relief to families. Howard Wallace visited Romania on Tuesday, 19th March 2024, for 10 days to
facilitate the ongoing work.",,
292476,2024,"The charity was set up as a to promote and advance religion in accordance with Orthodox Jewish Faith and to relieve poverty, suffering and distress among members of the Orthodox Jewish Faith.","As can be seen from the accounts, charitable grants of £8,480 (2023: £25,078) were made during the year. The grants have eased the plight of the beneficiaries.",,
312393,2024,"The Trust must first apply the Trust's income in meeting the proper costs of administering the Trust and of managing its property and making payments to the Governors of the School to be used by them in discharging their obligations under the Education Acts with respect to the maintenance of the School. After payments of these costs, the Trustees must apply the remaining income in furthering the object of the Trust.",,,
208882,2024,"Our aim is to raise awareness of the support we offer to people who work or have worked in the print, paper, packaging, graphics and publishing sectors. Through greater awareness of our practical and emotional support, we can be there for more people when life does not go according to plan.

A key driver in raising awareness is our outreach to companies in our sectors with the purpose of offering our free 24/7/365 helpline to employees and their immediate family members. In the year we have grown the number of people covered by the helpline to 32,000 across 372 companies. This represents an increase of over 20% on 2023.","Our 24/7 helpline remains a cornerstone of our support for people across our sectors. Whether they are seeking practical guidance or emotional reassurance, the dedicated helpline team is always ready to listen and help, ensuring that those facing personal or professional challenges have access to assistance whenever they need it.

Complementing our helpline, our financial assistance grants is another key part of our mission to support the wellbeing of people working in our sectors. These grants offer essential financial support during times of hardship, providing a crucial safety net and, as a result, supporting emotional wellbeing. Together, these services reinforce our commitment to improving the quality of life for those we support.","Our grants to organisations focus on skills, welfare, and access to sector opportunities. Our partnerships are reviewed annually to ensure they meet our strategic objectives, and by collaborating with organizations that have expertise in their field and can demonstrate measurable impact, we aim to reach people who may not otherwise be aware of the support we offer.",
1005966,2024,"The following are available to the general public:
1. An annual colloquium (The W. Y. Adams Colloquium) is held at in May at various locations and online via the Zoom platform. The preliminary results of recent archaeological and historical research, together with research results on material previously acquired are presented.
2. An annual lecture (the Lawrence Kirman Memorial Lecture) is held in September following the Annual General Meeting. It is given by an expert in some aspect of ancient Sudan.
3. Books concerning work done in Sudan are published from time to time.
4. The Society has a website (address below), giving information about the work of the Society, the Society can be joined, publications purchased and back issues of the Society journal Sudan & Nubia are archived and available to be read.
The Society publishes an annual journal Sudan & Nubia which is distributed to all members and can be purchased from the website.","In 2024 the following educational events of the Society were held. The annual W. Y. Adams colloquium took place at the Swansea Egypt Center at Swansea University and online using the zoom platform. Lectures covered a wide range of topics. The Kirman Memorial Lecture was held as an in-person event at the British Museum. The lecture was given by Dr Marius Drzewiecki on Forts of North Omduman.
Sudan & Nubia 28 was published, as were SARS monographs 27 and 28. An online newsletter is sent to members periodically.",Reserves are held in order to fund research and publication of the results of previous expeditions to the Republic of Sudan.,
294629,2024,"The Trust's aim is to give encouragement and financial support to those actively contributing to the advancement of the creative arts in the United Kingdom. Grants made by the charity assist individuals and organizations making a contribution to the artistic and cultural life of the UK, particularly at the start of their professional careers. Grants are available to support individual works, activities, performances or prizes in the fields of, but not confined to, drama, painting, sculpture, dance, music, poetry and architecture. The Trust awards discretionary grants according to the merit of individual applications. Procedures and detailed criteria for applying for funding are outlined fully on the charity's website.","The Trustees received 261 formal requests (2023 - 197) for funding from individuals and organizations over the year. Grants totalling £148,088 (2023 - £178,639) were agreed by the Trustees during the year. The Trust awarded a higher number of grants in 2023 to support more applicants as activity postponed during the Covid19 pandemic resumed but audience engagement and other funding sources remained uncertain. The Trust produces an annual Newsletter detailing its activities, which is available on the website www.fentonartstrust.org.uk. The value of the Trust's investments increased by 9.9 percent over the latest financial year (2023 – 2.4% decrease). Markets were buoyed by expectations that central banks would cut interest rates amid signs that moves to address the surge in inflation fuelled by Russia's full-scale invasion of Ukraine were having the desired effect.","It is the policy of the charity to retain the original legacy and any subsequent gifts and legacies as reserves. These are invested to provide a total return which may be distributed. The charity's policy for determining the level of income reserves is to aim to distribute as grants a minimum of 75% of the target annual total return averaged over a three-year period from capital invested (after deducting third party investment management costs), in accordance with the charity's objectives. The Trustees retain up to 25% of total return to cover administration costs and contingencies and maintain a cash balance to cover approximately one year's ongoing commitments.",
220487,2024,,,,
1012766,2024,,,,Text extraction failed
226743,2024,"The trustees are empowered to firstly cover out of income, the cost of repair and insurance and all other charges in connection with property belonging to the charity, together with incidental administration and management expenses. The trustees are under obligation to apply income of the charity in relieving either generally, or individually, persons resident in the parish of Knaresborough who are in conditions of need, hardship or distress by making grants of money, or providing or paying for items, services or facilities calculated to reduce the need, hardship or distress of such persons.","The over distribution for the year amounts to £2,561.65 and this has been deducted from the income fund carried forward.","The trustees are under obligation to apply income of the charity in relieving either generally, or individually, persons resident in the parish of Knaresborough who are in conditions of need, hardship or distress by making grants of money, or providing or paying for items, services or facilities calculated to reduce the need, hardship or distress of such persons.",
258306,2024,"The objects of the Foundation are as follows:
- To assist in and promote the preservation, repair, embellishment, and upkeep of the religious sites, temples and monuments of the Holy City of Jerusalem for the inspiration of people of all faiths.
- To assist in and promote the excavation, repairs, preservation and upkeep of such historic sites and antiquities of Jerusalem as are of permanent educational value to mankind and which will contribute to the instruction and enlightenment of the peoples of all nations.
- To assist in and support all such education or religious projects in Jerusalem as are directed to purposes which are exclusively charitable.
- To assist in and support the relief of poverty, sickness and distress in Jerusalem without regard to race, creed or colour.","During the year the Foundation received funds from both individuals and grant-making foundations. Grants amounted to for specific charitable purposes including Education, Arts & Culture and Social Welfare were remitted to The Jerusalem Foundation Auto on an earmarked basis. In the year gifts made from donors included:
• Hassadna Conservatory
• Jerusalem Botanical Gardens
• Wool Rose Park
• George Pinto Fellowships
• City As a School
• Best Hanna Community Center
• Emergency Fund - through a range of programmed mainly in partnership with the city's community centres, the OF emergency Fund programmed have reached over 250,000 - providing support for vulnerable populations including the elderly, people with special needs, evacuees and those suffering from trauma.","The grant-making policy of the Trustee is to support the objectives of The Jerusalem Foundation - Auto in Israel. The restricted funds are comprised principally of donations received for earmarked purposes. In addition to the grants made from restricted funds, the Trustee also makes discretionary grants from unrestricted funds.",
262613,2024,"In accordance with the Charity Commission Scheme of 2001, the objects of the charity are as follows, in order of priority:
1.	To repair and maintain the fabric of Wye Parish Church, inclusive of the tower and chancel.
2.	To repair and maintain the Parish Church and all things therein necessary to the performance of divine service.
3.	To repair and maintain the churchyard of the Parish Church.
4.	To assist in the provision and maintenance of such buildings in furtherance to the religious and other charitable work of the Church of England in the Parish which may be erected within the curtilage of the said churchyard.","Total income from investments for the year amounted to £39,365 (2023: £37,281). Total grants amounted to £24,862 (2023: £14,601), of which £16,714 (2023: £7,208) related to church fabric repairs. Grants were also made for the church insurance of £7,598 (2023: £7,393) and £550 was made towards the Organ Fund in the year (2023: £Nil).
Wye Ecclesiastical Charities continues to administer the income from this trust, whose objects are the same as its own, on behalf of the Wye PCC. The Canterbury Diocesan Board of Finance remain the custodial trustees, and they pay the income quarterly direct to Wye Ecclesiastical Charities.
At 31 December 2024, the total value of the Luxmoore Trust funds was £338,284 (2023: £326,941) divided between the Investment Fund (58%), the Global Equity Fund (34%) and the Property Fund (8%).","The charity invites applications for grants from Wye Parochial Church Council (PCC). All applications, if in furtherance of the objects, are considered and approved by the trustees at their biannual meetings. Official applications are then made in writing and the grants are confirmed in writing when the relevant approved funds are paid out to Wye PCC.",
326840,2024,"The objects of the Charity, as dictated by the Memorandum of Association, are to carry out any or all of the following, namely: - The prevention or relief of poverty among the inhabitants of the United Kingdom and the provision of facilities for recreation, amateur sport and other leisure time occupation for them generally in the interests of their social welfare within the meaning of the, now repealed, Recreational Charities Act 1958 and as therein limited; - The advancement of education and training amongst the inhabitants of the United Kingdom generally; - The furtherance of such other charitable purposes beneficial to such of the communities of the United Kingdom as the Charity may think fit; and - To make grants to such associations, trusts, societies or corporations as are established for charitable purposes. The Charity carries out its objects by awarding grants to a wide range of charitable causes as quantified in note 4 to the financial statements. The Charity aims to distribute grants to those charitable organizations that the Trustees decide are in line with the objects of the Charity. By providing such financial support, the Charity seeks to enable other charitable organizations to achieve their objects.","During the year ended 31 March 2024, the Trustees and staff held an in-person meeting with property and investment managers to discuss their respective performances, determine future investment opportunities and outline their requirements for returns on the Foundation's investment. The funds are now fully invested. The Trustees and staff continued to make in-person visits to some grant applicants and grantees where the grant is in excess of £100,000. Visits were organized at the Trustees' discretion and were conducted to further assess a grant application that has been made or to follow up on the progress of an existing grant. Visits made during the year ended 31 March 2024 included Outward Bound, The Roundhouse, and Treloar's.","The Trustees regularly review the grant-making policies of the Charity, which currently are: - The Trustees will consider applications for grants which are in accordance with the stated objects of the Charity; - All grants will be approved unanimously by the Trustees; and - The Charity will continue to make grants to individuals only in exceptional circumstances.",
266803,2025,"G F M macaulay Charitable Trust is grant m taking to charities, m mainly to prom one religious activities and relieve poverty. The Trustees recognize the duty i posed upon them by the Charities A ct 2011,Section 17 and also the require went to have due regard to the general guidance provided by the Charity Com m mission in connections w it Public Benefit. The Trust fulfill this duty by providing grants to charities that further the Trust's objectives of prom voting religious activities and relieving poverty. This is the Trust's only activity.","D bring the year, the Trust m are another gift to the Stew hardship D nor A advised Fund. The Trustees are taking an active role in suggesting appropriate charities to receive grants from the fund.",,
