Funder Name,Charity Number,Change Type,Date,Description,Additional Details
The Castanea Trust,1136180,Spending Out,07/01/2025,No further information at this time ,
The Henry Smith Charity,230102,Re-Opened,07/01/2025,"Opened on 23rd July 2025 to organisations working with care-experienced young people, LGBT+ young people, and young people with learning disabilities and/or neurodivergences. Closes Wednesday 20th August 2025. 

Grant amount: up to  £240,000 ( £60,000 per year)
Length: Four years


20 grants to be awarded. ",
The National Lottery Community Fund,,One to Watch,07/01/2025,"If more organisations apply than they expect they may stop accepting applications before the deadline. Apply as soon as you are ready, instead of waiting until the deadline.",
The Inman Charity,261366,One to watch,07/01/2025,"The Trustees operate a grant giving policy with a view to making annual grants of  �350,000.

","The Trustees are particularly interested in supporting the following areas of charitable work:-

Medical research
Care of the elderly
Older people and general welfare
Hospices
The Deaf and Blind
Care of the physically & mentally disabled
The Armed Forces"
Forest Hill Charitable Trust,1050862,Restructuring,07/01/2025,"The Trustees will be meeting before the end of 2025, specifically to review all charities currently supported to determine whether the Trust should continue with their current list. (The charities have been/will be advised of this review, and invited to let the Trust know how their donations are making a difference to those the charities support). If it is felt any should be removed from the current list, they will be replaced by a new charity from an 'approved' waiting list. Souce: Annual Report on CC. ",
The Henry Smith Charity,230102,Re-Opened,07/01/2025,"Opened Thursday 31st July 2025. Closes on 28th August 2025 at 5pm. This is a funding round not an open rolling programme.

Work has to be with children under 5 living in local authority areas  with high levels of child poverty - at least 24.9% of children must live in poverty in your local authority area (using 23/24 End Child Poverty data)

If you had an unsuccessful application last year and were waiting the normal 12 months to reapply you CAN apply now for this. 

If you already hold a Henry Smith grant you may be able to apply for this opportunity. Henry Smith are inviting you to contact them to explore (have a look at the FAQ's)

Grant amount: up to  £150k ( £40-50k per year)
Length: three years

Only 40 grants likely to be awarded. 

This is the only funding round for this programme this year (2025)
",
The Georg And Emily Von Opel Foundation,1172977,One to Watch,07/01/2025,The foundation is overwhelmed with requests ,
The Andor Charitable Trust,1083572,Restructuring,07/01/2025,"The trust is not accepting applications and will continue to support a select list of charities.
",
King Charles Iii Charitable Fund,1127255,Restructuring,06/01/2025,"The Charity has updated their Small Grants Programme  � June 2025. 

This programme makes grants to UK registered nonprofit organisations working in the key areas of environment, countryside, education, heritage and conservation, social inclusion, and health and wellbeing.particularly focus on those working with, and in, some of the most disadvantaged communities, both urban and rural.

Key changes include:

Adjustments to our small grant eligibility criteria to include new income thresholds of  �25,000 to  �500,000. Around 85% of charities that submit an annual return to the Charity Commission have an income of less than  �500,000 and we are focusing our support on this group.
The total project cost that our small grant may contribute to is  �50,000 (10% of the new maximum annual income threshold).
A revised maximum grant request of  �9,000 over three years.
Reapplication timelines of two years from the date of the end of a successful award or previously unsuccessful application.

In 2025/26,applications will open as follows:

August  � Environment and countryside funding themes
October  � Education and heritage and conservation funding themes
January  � Social inclusion and health and wellbeing funding themes

They will publish specific dates on their website and social media platforms at least two weeks prior to the application window opening.","As shared in our grant making plans earlier this year, the number of applications we receive has increased significantly over the past few years and as a result the proportion of applicants receiving funding has reduced dramatically  � in 2024/25 we received almost 1,500 small grant applications. Of these, 100 were successful and received funding. This has prompted a review of our small grants programme, so that we can ensure our processes are as simple as possible for applicants and our funding delivers maximum impact to communities across the UK and beyond.What we have done

We asked more than 1,200 applicants for their views;
Considered insights from across the wider grant making sector;
Reviewed our grant application form and process.
Following a comprehensive review of the valuable feedback, the Fund has refined its small grants programme plans for 25/26 to improve the application process and ensure support reaches those small organisations we aim to fund."
Abrdn Financial Fairness Trust,SC040877,Closed,06/01/2025,"Aberdeen Group plc terminated its Financial Fairness Trust without notice and sacked the CEO, Mubin Haq, the chair and all the trustees. The company says it plans to move in a different direction. ",
The Steel Charitable Trust,272384,Not Open to Unsolicited Applications,06/01/2025,"The Under-26 Fund will be invitation-only from June 2025, with no open application process for the foreseeable future.
","Despite the recent restructure of our grant-making, we are still receiving an unprecedented volume of applications and so, with a limited grants budget, the chance of a positive outcome is becoming smaller, averaging only about 2%.

The situation has become so difficult to manage that, mindful of applicants' time, the Trustees have taken the decision to significantly change our application process for the Under-26 Fund. Although details are yet to be confirmed, the intention is to make this Fund strictly by invitation only. For the foreseeable future, there will no longer be an open application process, and we will not accept unsolicited applications.

Clearly, this is a decision that has been taken with some reluctance as we are only too aware of how many social, cultural and societal issues are being addressed by charities with dedication and purpose. It is certainly worth checking our website from time to time for future changes."
James Tudor Foundation,1105916,Restructuring,06/01/2025,"The Foundation has confirmed that eligibility for hospice funding is restricted to South West England and South Wales.
",At the April meeting the trustees decided to reinstate a geographical restriction of eligibility for hospices to only South West England and South Wales. This was because on opening nationally last year they received such a high number of applications which wouldn't be sustainable longer term.
Focus Foundation,1194519,Paused,06/01/2025,The application portal is temporarily closed due to high demand and will be launching a new grants process. No date available ,"During Dec-Feb, we received over  �1M worth of grant applications - the highest we've ever seen. 

But sadly as a result, we've had to temporarily close our application portal to focus on supporting the incredible projects already in progress.

We're in the process of launching our new grants process, which will begin with an Expression of Interest form as the first step in requesting funding from the Foundation.



"
Foundation For Integrated Transport,1156363,Paused,06/01/2025,"The Foundation has temporarily paused the majority of its grant-making whilst the trustees undertake a review of the Foundation's strategy, objectives and priorities.","The application process is currently paused for the main grants programme, Alastair Hanton Memorial Fund, fellowships programme and social investment fund.

The only exceptions to this are:

The small grants programme remains open for applications
Urgent applications in exceptional and limited circumstances can be considered to our main grants programme, Alastair Hanton Memorial Fund, fellowship programme and social investment fund. If you wish to apply under this exemption, please contact the Grants Manager on admin@integratedtransport.co.uk who will decide whether sufficient evidence has been provided to justify consideration of an emergency application. Please note we will only consider applications under this special exemption in extremely limited circumstances where full supporting evidence has been provided.
Further details of FIT's revised strategy and priorities will be published on our website in due course."
The Steel Charitable Trust,272384,One to Watch,06/01/2025,Very competitive June 2025,
Steve Morgan Foundation,1087056,Restructuring,06/01/2025,"The foundation is scaling up impact with  �100m in funding, offering fewer but larger regional grants, and has narrowed its focus.
","Plans to significantly scale up its impact with  �100m that will fund local solutions to improve people's lives in these areas. It will also continue to invest in international research into type 1 diabetes. Going forward, the foundation will offer fewer but larger regional grants  � of between  �250,000 and  �500,000 over three years  � and will no longer support applications related to animals, the arts, the environment, or promotion of religion. It will consider grants from organisations with an annual turnover of between  �300,000 and  �5m, that aim to tackle the root causes of social disadvantage across three key themes: education, employment, and access to healthcare, housing or opportunities. The foundation has committed that any strategic partner grants, associate charity grants, regional or enable grants that have already been awarded will not be affected by the change in strategy.



 See more at: https://www.civilsociety.co.uk/news/steve-morgan-foundation-outlines-100m-funding-pledge.html?utm_source=New+Main+List+From+Live+CIVIL+Site&utm_campaign=ca35fd1e18-EMAIL_CAMPAIGN_2025_05_28_12_10&utm_medium=email&utm_term=0_-ca35fd1e18-410926186#sthash.xTKzgvLj.dpufSee more at: https://www.civilsociety.co.uk/news/steve-morgan-foundation-outlines-100m-funding-pledge.html?utm_source=New+Main+List+From+Live+CIVIL+Site&utm_campaign=ca35fd1e18-EMAIL_CAMPAIGN_2025_05_28_12_10&utm_medium=email&utm_term=0_-ca35fd1e18-410926186#sthash.xTKzgvLj.dpuf"
Jewish Child's Day,1195764,Restructuring,06/01/2025,"A pilot grant programme for larger grants is launching in 2025, with specific eligibility criteria.
","In 2025, Jewish Child's Day are launching a pilot grant programme to award larger grants up to  �30,000 or NIS 135,000. This current grant programme is only available to organisations who meet the criteria and have not received a Jewish Child's Day grant in the last 12 months (since July 2024).
The charity will consider applications that fall within our charitable purposes and meet our funding criteria and, for which, the due diligence process has not identified any unacceptable issues.
Funding Criteria
 � Applications will only be considered from registered charitable organisations in the UK and in Israel.
 � Applications will only be considered from organisations with an annual income up to  �1,500,000 or NIS 6,750,000 (the only exception is for schools in the UK who can apply with a higher annual income)
 � Applications will only be considered for projects within our four main areas of focus:
 � Poverty Relief
 � Mental Health Support
 � Disability Assistance
 � Israel War Relief (To Rebuild and Rehabilitate)"
The Weinstock Fund,1150031,Paused,06/01/2025,"Temporary suspension of applications:

Appeals for grants will be suspended from Saturday 21st June for a few weeks while we move to a new platform.

It is anticipated that we will reopen to new applications during August.
https://www.weinstockfund.org.uk/",
Sofronie Foundation,1118621,Paused,06/01/2025,The Foundation are currently Fully Committed ,
The Joseph Rank Trust,1093844,Paused,06/01/2025,"The Trust are unable to accept any grant applications until 1st October 2025 owing to the high volume of applications that have been received. The only exception are applications from Methodist Church's and Methodist charities.

",
The Victoria Wood Foundation,1170494,Paused,06/01/2025,Paused due to high number of application. Hope to resume 15th September 2025. https://victoriawoodfoundation.org.uk/contact-form-initial-application/,
John Ellerman Foundation,263207,Restructuring,06/01/2025,"The Foundation released a new strategy for 2025 to 2030. Offering multi-year core costs funding, focussing on supporting changemaking organisations with a clear understanding of their role within existing and/or new systems and a clear strategy on how they intend to make change, that are committed to advancing justice through the active involvement of individuals and communities with personal or direct experience of the issues they tackle. 

Applicants won't be restricted to fit previous funding categories of Arts, Social Action and Environment.  Instead, the Foundation are narrowing focus and trying to avoid setting up arbitrary restrictions through funding categories.

The Foundation a are also closing Museums and Galleries Fund


 New funding guidelines were launched on 23rd June 2025. 
 
",
John Ellerman Foundation,263207,Restructuring,05/01/2025,"The foundation is undertaking a strategic review for 2025 onwards; no plans to close.
","""Our current strategy ends in 2025, and we are undertaking a strategic review to plan for 2025 onwards. There are no plans to close as part of this review. However, as with any new strategy, there may be some changes to our funding priorities and criteria. These changes will be flagged up in advance, and we will transition to any such changes to an agreed and publicly available timeline with clear guidance on how we wish to minimise any disruption to current and prospective applicants.""

https://ellerman.org.uk/apply-for-funding"
The Baring Foundation,258583,Restructuring,05/01/2025,2025 is a strategy review year for the Strengthening Civil Society programme. ,
Boots Charitable Trust,1045927,Paused,05/01/2025,"Due to the unprecedented interest in the Trust and a significant volume of applications, the Trust took the decision to close to applications from projects while and review the Trust's funding strategy for FY25 and FY26.
",
King Charles Iii Charitable Fund,1127255,Restructuring,05/01/2025,"The small grants programme is under review due to high demand; changes to eligibility criteria are expected.
","Small grants 

On average we received almost 1,500 small grant applications and fund approximately 100 of these each year. 

In light of the increased demand, we will be reviewing how our small grants can best support organisations and help unlock additional funding to enable small charities to provide vital support to communities. This means that there are likely to be some changes to our eligibility criteria and application process in 25/26. We will be consulting both former and current grantees to inform our future plans.  "
Imagine Foundation,1152864,Paused,05/01/2025,The Foundation will not be opening a funding window again in the foreseeable future. https://www.if-trust.org/contact_us.php ,
James Tudor Foundation,1105916,Restructuring,05/01/2025,"International funding will be proactive only from December 2025. Current grants for certain projects are paused.
","Update 
Our Trustees have recently made the decision to change our international funding to be a proactive programme (we will not be accepting unsolicited applications). This is due to begin from our December 2025 board meeting, and as such, unfortunately, you will not be eligible to apply again in future.


Please note that we are reviewing our funding priorities for the International grants programme and we will update this page in late Spring 2025.



For the time being, please do not take examples of past supportas confirmation of eligibility. In particular, we are currently pausing new grants for projects focusing on the following:



Provision of water and sanitation facilities (WASH projects).
Menstrual hygiene and sanitation.


While this may change after the funding priorities review has been completed, ongoing areas of focus include:



Maternal and neonatal health.
Provision of direct healthcare (clinics, medical equipment, etc.)
Training of healthcare professionals.
"
The Clothworkers Foundation,274100,Paused,05/01/2025,"The grants portal is temporarily offline for updates.
","We will, for a short time, take our grants portal offline in order to make necessary updates to our application system and website. From 5pm today, applicants will not be able to submit a grant application until the new applications are live on 2 July. We apologise for the inconvenience this may cause. 

If you have an in-progress application, please download a copy of your draft if you wish to be able to reuse some of the responses or data you've already inputted when our new application goes live. All those with applications in progress have also received email notifications about this temporary suspension"
The James Weir Foundation,251764,Restructuring,05/01/2025,"Due to changes in the management of the foundation from May the 1st 2025 the foundation will only be supporting those charities chosen by the Founder and set out in the Trust Deed.

In line with this change from May the 1st 2025 no external applications will be considered for grants regardless of whether the applicant has been a beneficiary in prior years.

The PO Box for the Foundation has been closed",
James Tudor Foundation,1105916,One to watch,05/01/2025,"The number of applications received continues to outstrip their budget. In the last quarter alone, they received 98 expressions of interest with an estimated total value exceeding  �1.5m. To put this in context, this year, their quarterly budget for non-hospices applications is  �150k.
The Foundation are seeing the success rate of applications decreasing from 1 in 3 or 4 in the past years, to 1 in 10 at the time of writing",
Marr-Munning Trust,1153007,Not opening new window,05/01/2025,,
The Albert Gubay Charitable Foundation,1193970,Reopened,04/01/2025,General Fund is now open to applications. ,
The Henry Smith Charity,230102,Restructuring,04/01/2025,"The Foundation to  launch a strategy launch on 24th June and are developing three new grant programmes launching this summer. 
",
The National Lottery Community Fund,,One to Watch,04/01/2025,"In a recent webinar (East Midlands) they mentioned that Awards for All will move to new missions but no timescales for that 

",
James Tudor Foundation,1105916,Restructuring,04/01/2025,"The Foundation have tghtened their Mental health funding to focus on charities supporting specific conditions; broader counselling services are no longer funded.
"," Emotional Support & Counselling 

I'm afraid as we are currently experiencing extremely high demand for support, and particularly for counselling services, our Board has taken the decision to focus our mental health funding on charities with a specialist and sole focus on supporting:
individuals affected by severe and enduring mental health conditions and neurodevelopmental disorders including autism, OCD, severe depression (including suicidal thoughts, post-partum depression/psychosis), eating disorders, self-harm, substance misuse addiction.
individuals dealing with bereavement (children and parents of children and young people).
individuals who have suffered trauma and abuse (domestic abuse and violence, sexual abuse of children, young people and adults).
As a result we are not funding condition-specific counselling, and are no longer funding broader counselling services, which may include some individuals who fall into the above categories but also cover a wide range of other needs.
Regretfully this means we wouldn't be able to consider an EOI for your Emotional Support service at this time. This is, of course, not a reflection on the value or need for this service. Simply, we are having to limit our eligibility criteria as we simply can't fund all the very good work we are asked to"
The Tudor Trust,1105580,Restructuring,04/01/2025,The Trust have  recently updated their website to give more information about their grant-making plans going forward Spoiler they remain a  closed application processes. However they are committed to being transparent in how they share and make decisions. ,
John Horniman's Children's Trust,222730,Restructured,04/01/2025,"The Trust have decide to limit their funding to charities previously supported due to high demand and market uncertainty.
","""Regrettably, due to continuing uncertainty in the stock market and a significant increase in the number of applicants, Trustees have had to make the difficult decision to limit funding to charities we have supported in the past. This measure is intended to protect the capital value of the Trust's fund and ensure John Horniman's original vision of supporting the health and well-being of children who are sick or have learning difficulties is preserved.
Unfortunately, this means we are unable to consider applications from new charities in 2025"
Sussex Community Foundation,1113226,Paused,04/01/2025,"Sussex Community Foundation have decided to pause their main grants programme to give themselves time to bring in a new, updated grants system, make some changes to improve processes and reflect on their funding priorities. The next expected opportunity to apply will be in the autumn. 


",
The David Family Foundation,1123198,Not open to unsolicited applications,04/01/2025,"The Foundation is no longer accepting unsolicited applications. Sadly demand far outstrips their ability to offer grants, leading to much wasted time and disappointment for applicants and our small board of voluntary Trustees.  Consequently they have decided to focus our modest resources closely on particular areas of need. They will actively seek out the charities they think can best address them ",
The National Lottery Community Fund,,Restructuring,04/01/2025,"The application process has changed, with increased word limits and longer decision times.
","Update 

Some  changes to the key questions, more reference to the missions, a bit of moving of questions between stages, and a welcome increase to 750 words for the key questions.

There is one big change to note, which is that they now say the average decision time is nine months (as the second stage decision is now six months, up from 16 weeks).

"
Friends Provident Foundation,1087053,Restructuring,04/01/2025,"The Foundation have simplified their application process with a new  �Say Hello' feature and a focus on unrestricted funding.
","The Foundation are simplifying its grant application process to make it more accessible. Instead of requiring a written form at the initial stage, applicants can now use a ""Say Hello"" feature on the website to briefly introduce themselves via text, video, or voice note. If their project aligns with funding priorities, they will be invited to a conversation where the application will be co-created with staff assistance. This approach aims to reduce applicant effort and provide earlier feedback on suitability.

In addition, the organisation is adopting unrestricted funding as the default, 




https://friendsprovidentfoundation.org/were-changing-our-approach-to-grantmaking/
"
Kemsley Charitable Trust,1014991,Spend out,04/01/2025,"The trust is in the process of spending out.
",
The Tudor Trust,1105580,Not open to unsolicited applications,04/01/2025,"After making their first grants they will continue to invite organisations into grant-making, instead of an open application process and will continue on an invitation-only basis for the foreseeable future.",
James Tudor Foundation,1105916,Paused,04/01/2025,"The Foundation's mental health funding is focused on charities supporting specific conditions; broader counselling services are no longer funded.
",
The Albert Gubay Charitable Foundation,1193970,Paused,04/01/2025,"The Foundation  is now  closed again, having just reopened 2 weeks ago (after pausing for 9 months). ",
The Sir James Roll Charitable Trust,1064963,Closed,03/01/2025,"""Due to the high level of administrative time needed to process the considerable number of grant applications received, the Trustees have decided that the Trust will NOW BE CLOSED TO ALL FUTURE NEW APPLICATIONS. Having built up a considerable database of charitable beneficiaries since 1997, the Trustees will now choose future beneficiairies purely from their existing charitable contacts. 

Please also note that a specific request is being made by the Trustees for the Sir James Roll Trust to NOT BE SENT either by HARD COPY or ELECTRONICALLY any further promotional literature or Reports of your Charity's progress. If this is ignored it is less likely that your Charity will be considered in the future as a beneficiary. We apologise for the tone of this message, but we have become administratively bogged down by the sheer volume of paperwork received.""",
Bbc Children In Need,802052,Pausing,03/01/2025,Paused until September 2025,"' As part of our ongoing commitment to improving our systems and processes, BBC Children in Need are transitioning to a new grantmaking system. This transition will take place throughout 2025 and we will launch our new system by the end of September. During this period there will be some disruption to our grant programmes.

As a result BBC Children in Need will be unable to accept new Expressions of Interest applications after 15th April 2025 until we launch our new grantmaking system, by the end of September 2025.

Your current online account (also known as the grantee portal) will close on 25th July 2025. We will launch our new grantee portal by the end of September 2025.

We want to minimise the disruption this transition will have on all our applicants and grantees. If you are a current applicant or grantee then we will be contacting you directly with information about how this affects you'


"
Elise Pilkington Charitable Trust,1170847,Paused,03/01/2025, The Trust has out grant applications on hold until Autumn 2205 when there will be a new process,
City Bridge Foundation,1035628,"
Restructuring",03/01/2025,"The foundation is introducing tighter criteria and monthly funding panels due to high demand.
","
In recent months there has been a significant increase in the number of applications received. This has happened because of changes in our own funding programmes, changes from other funders, and several years of pressure on the voluntary sector, not least from the pandemic and high inflation.

Based on our available funds we anticipate a significantly reduced approval rate in the applications we are currently reviewing. As such, we need to introduce tighter criteria to ensure our funds reach those organisations most aligned to our mission. We will prioritise support for organisations which are:

 ��  led by members of the communities they serve.

 ��  based in or working in one or more of the areas we have been less successful in supporting: Enfield, Havering, Hillingdon, Hounslow, and Redbridge.

 ��  able to demonstrate the ability to deliver their proposed work effectively.

 ��  working with communities and individuals experiencing disadvantage and marginalisation (such as minoritised communities, low-income families, D/deaf and/or disabled people, and other vulnerable groups or protected characteristics).

 ��  able to present clear outcomes demonstrating significant potential impact for their target communities.

In addition, we will give priority to organisations with:

 ��  turnover of less than  �500,000.

 ��  more than 30% of turnover from non-statutory sources.

 ��  free reserves equivalent to 1- and 9-months' expenditure.

Successful applications will not have to meet all these criteria, but we will use them when we consider the relative strengths of funding requests against our available budget.

We know this means there will be a considerable amount of excellent work that we cannot support.

To ensure that our grant budget is managed fairly across the coming months, we are also introducing a new step of monthly funding panels. These panels will look at all funding recommendations for the month and agree which should be taken forward.

We are still aiming to provide decisions within our current 4 �6-month target but recognise this additional process could create some delay. We will do our best to keep you informed of the progress of your application.
"
City Bridge Foundation,1035628,Restructuring,03/01/2025,"The foundation is adopting a social justice focus with long-term, core funding and a new application process.
","Standing With Londoners, will position the foundation as a social justice funder, with a sharper focus on tackling the root causes of inequality. The new policy, drawn up following a year of engagement, research and consultation, will offer long-term, core funding as a default, and unrestricted funding where possible, alongside other innovations such as pre-application phone calls to simplify the process.The policy, which will prioritise funding for community-led organisations, will build on the foundation's long-standing commitment to infrastructure and capacity building support and seek to boost support for advocacy, community organising and policy change. The Foundation will continue to assess and award grants under the old funding policy until summer 2025. They aim to launch the first of their new funding programmes in autumn 2025. Four visions for a fairer London around which they will shape and develop future funding programmes: Climate Justice, Access to Justice, Racial Justice and Economic Justice.



https://www.citybridgefoundation.org.uk/funding/standing-with-londoners

"
The Clothworkers Foundation,274100,Restructuring,03/01/2025,"The Open Grants Programme remains open during strategic changes.
","The Open Grants Programme will remain open during the design and implementation of strategic changes to provide the best guidance, and experience, for applicants and grantees. They wil share information on Linkedin through a series of  posts
 
https://www.linkedin.com/posts/clothworkers-foundation_responding-to-demand-upcoming-changes-activity-7297179917790646272-WoQU/?utm_source=share&utm_medium=member_android&rcm=ACoAAC7FkV4BLRVBJI7MC529iTNswPrgPWWwFvI

https://www.linkedin.com/posts/clothworkers-foundation_responding-to-demand-upcoming-changes-activity-7299827865561235456-51S0?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC7FkV4BLRVBJI7MC529iTNswPrgPWWwFvI"
The Peter Cruddas Foundation,1117323,Not open to unsolicited applications,03/01/2025,"The Foundation is closed to unsolicited applications, as Trustees consider the funding strategy and process going forward. This will be the case for the foreseeable future. Currently have no active website.",
Arts Council England,1036733,One to Watch,03/01/2025,"National Portfolio Investment Process: Timeline progress 
This Wednesday (19 March), our National Council met to discuss the timeline for the next National Portfolio Investment Programme. In light of recent external developments, we are making changes to our plans.  

We are stopping the launch of our next Investment Process in April, and instead are recommending to Government that our current National Portfolio extends to 31 March 2028. 

",
The Amar Family Charitable Trust,1143991,Fully Committed,03/01/2025,"Fully subscribed /committed to charities for 2025. 

Suggest try and re-contact in early 2026. ",
Michael Cornish Charitable Trust,1107890,Spend out,03/01/2025,"The Trust is no longer accepting applications and will be closing.

https://www.michaelcornishcharity.org.uk/",
The Tabhair Charitable Trust,SC043357,Not open to unsolicited applications,03/01/2025,Not open to unsolicited applications,
The Willats Trust,202269,Paused,03/01/2025,"The Trust's Grants Programme is currently closed and will re-open in Autumn 2025.

",
National Churches Trust,1119845,Restructuring,03/01/2025,"The Small Grants Programme has been merged into the Medium Grants Programme.
","The National Churches Trust has announced a change to its Small Grants Programme, which has now been merged into the Medium Grants Programme.

https://www.nationalchurchestrust.org/get-support/grants/small-grants"
Joseph Rowntree Charitable Trust,210037,Restructuring,03/01/2025,"The Rights and Justice programme is open to returning grantees only.
",
Andrew Lloyd Webber Foundation,1015648,Paused,03/01/2025,The Foundation have made the decision not to hold an open grant round for the foreseeable future. We do not expect this outlook to change for at least the next 12 months.,
The Colyer-Fergusson Charitable Trust,258958,Paused,02/01/2025,"Please note: this programme is closed for review.  New programme material will be available in 2025.

",
The Asda Foundation,1124268,One to Watch,02/01/2025,"Application window opened Thursday 27th February and due to close Thursday 13th March (Noon). However the application window may close early if all funding is allocated. 


.",
The National Lottery Community Fund,,Restructuring,02/01/2025,"NLCF changes represent a considerble shift change in strategic focus, with an explicit commitment to tackling inequality, supporting community-led systemic change, and funding for legacy and infrastructure, while requiring clearer articulation of impact and beneficiary involvement. ",
Arts Council England,1036733,One to Watch,02/01/2025,"We've been exploring making some changes to the eligibility criteria of two of our funding programmes: National Lottery Project Grants (NLPG) and Developing Your Creative Practice (DYCP).

We want to confirm today that we are continuing our consultation, and that we are not making any changes before September 2025, at the earliest.  

",
The Robertson Trust,SC002970,Opening,02/01/2025,"New Fund, Community Spaces
Community Spaces aims to support local communities experiencing poverty and trauma in Scotland, and is for registered charities with an annual income of between  £30,000 and  £500,000.


",
Steve Morgan Foundation,1087056,Paused,02/01/2025,"The Foundation paused new grant applications as of Tuesday 25th February.

","Please note that all applications already received will be processed as normal. The trustees have taken this decision to pause new grant applications to enable them to take time to reflect on how we can best continue to support and work in partnership with the people and organisations delivering vital work and projects in our communities.

The Steve Morgan Foundation remains totally committed to continuing its mission of building partnerships to deliver modern day philanthropy at its best and #ChangingLivesForGood. We will update this page and our approach to grant applications when we have more information to share.

https://stevemorganfoundation.org.uk/changes-to-our-grant-giving/"
Skipton Building Society Charitable Foundation,1079538,Re-opened,02/01/2025,"New focus areas for 2025  � a much narrower remit than before. They've dropped health as a priority. Priorties are now; 
Helping people experiencing hardship and/or underserved groups to:

access a place to call home.
and improve financial wellbeing.  

",
The Colyer-Fergusson Charitable Trust,258958,Paused,02/01/2025,"Please note: this programme is now closed for review.  New programme material will be available in 2025.

",
The Colyer-Fergusson Charitable Trust,258958,Paused,02/01/2025,"Please note: this programme is temporarily closed.  Please revisit this web page in mid-February 2025.

",
The Colyer-Fergusson Charitable Trust,258958,Paused,02/01/2025,"Please note: this programme is closed for review.  New programme material will be available in 2025.

","Please note: the application process has re-opened but, as we are holding a strategic review in summer 2025, at the moment we are prioritising applications seeking a one-off grant rather than those requesting a multi-year award. (https://www.cfct.org.uk/investing-in-communities/) 08/04/2025"
The Sir James Roll Charitable Trust,1064963,Paused,02/01/2025,Have decided to pause new applications due to lack of capacity. They only have one part time trustee handling all the applications and they are completely overwhelmed. ,
Wolfson Foundation,1156077,Restructuring,02/01/2025,"Over the next five years, the foundation aims to spend over  �200m, with an enhanced focus on research and education.
","New Strategic Framework 
Over the next five years, we aim to spend over  �200 million in pursuit of our objectives, with a continued and enhanced emphasis on research and education. Our aim is to support civil society by investing in outstanding projects in science, health, heritage and the arts.https://www.wolfson.org.uk/about/strategy/"
Childs Charitable Trust,1153327,Restructuring,02/01/2025,"
The Trust is closed to new applications for 2025 . If you have not received funding from the trust in the past 3 years please do not submit an enquiry or request an application form. Status will be reviewed in October 2025. 
",
The Moulding Foundation,1192727,Re-opened,02/01/2025,"Accepting new applications for funding.For the next six months, to ensure our impact is targeted, they are prioritising funding for charities and projects that remove barriers and create opportunities for young people with disabilities. 
",
Peter Harrison Foundation,1076579,Pausing,02/01/2025,"The Peter Harrison Foundation will close to new funding applications until further notice from Wednesday, 2 April 2025. ","This decision follows an unprecedented surge in demand for funding, resulting in less than 5% of grant applications being successful. We recognise the time and resources organisations invest in preparing grant applications and want to avoid charities spending their valuable time on applications when the likelihood of success is so low. This closure will allow us to focus on:

Reviewing our grantmaking strategy and processes to ensure our available funds can have the greatest possible impact in the future.
Supporting around 200 current grant holders.
Processing the hundreds of outstanding applications submitted before the deadline.
We regret the challenges this decision may pose to organisations seeking funding, however the overwhelming demand has made it unfeasible to continue accepting new applications. By pausing to review our strategy, we aim to strengthen our ability to support impactful charitable work and responsibly manage our resources.

Applications received by the end of the day on Tuesday, 1 April 2025 will still be considered.


Organisations currently receiving funding will not be affected by this decision.https://peterharrisonfoundation.org/about-our-grant-programmes/announcement-closing-to-applications/"
The Moulding Foundation,1192727,Paused,02/01/2025,The Foundation is currently closed to applications due to reopen later in the year ,
The Gisela Graham Foundation,1153514,Closing,02/01/2025,"Ceasing operations. The first Foundation on The List to move from paused to closed with no reopening. 
","The Gisela Graham Foundation has reached a natural milestone after 10 years of supporting communities across multiple sectors. We're proud to have contributed, and helped to make a positive impact, to many projects within health, education, community development and the arts.   

As we prepare to close our operations on 28 February 2025, we're working to ensure our remaining funds create lasting impact through final legacy grants. We thank our community for their support and encourage the various charities and groups to continue with their good works.  

The applications process is now closed for good  � and applications will no longer be accepted in any format."
Hollyhock Charitable Foundation,1186232,Spend Out,01/01/2025,The Foundation is closed to new applicants as trustees work towards spending out. References to the charity are being removed from the internet.,
Cash For Kids ,1122062,criteria updated,01/01/2025,The charity have issued new eligibility guidelines and will no longer fund charities with a turnover of over £1m.,
The Thompson Family Charitable Trust,326801,Not Open to Unsolicited Applications,01/01/2025,The trust is not inviting or considering unsolicited applications.,Due to the increasingly high volume of requests for funding (which had become a severe drain on our administrative capacity) we are no longer inviting or promising to consider unsolicited applications. All of our grants are now based on our own research into registered charities in the areas of want that we wish to support. ï¿½
The Tim Henman Foundation,1161964,Did not open new window,01/01/2025,Did not open in January 2025 as planned this year.,
Didymus,1152432,Re-opened,01/01/2025,,"Dstributes grants to UK Registered Charities delivering high quality, creative projects, which widen access to and participation in the arts in Greater London and Yorkshire. As a small grant funder, they are typically able to make 3 or 4 grants per year, each for a 3 year period."
